年_西元,縣市,老化指數
2010,新北市,54.98
2010,臺北市,86.48
2010,桃園市,45.42
2010,臺中市,50.41
2010,臺南市,79.83
2010,高雄市,69.78
2010,宜蘭縣,85.83
2010,新竹縣,58.99
2010,苗栗縣,85.16
2010,彰化縣,74.28
2010,南投縣,91.49
2010,雲林縣,99.14
2010,嘉義縣,111.77
2010,屏東縣,86.91
2010,臺東縣,85.05
2010,花蓮縣,83.24
2010,澎湖縣,106.65
2010,基隆市,77.86
2010,新竹市,49.07
2010,嘉義市,63.01
2010,金門縣,90.76
2010,連江縣,65.14
2011,新北市,59.0
2011,臺北市,88.31
2011,桃園市,48.07
2011,臺中市,53.28
2011,臺南市,82.69
2011,高雄市,74.13
2011,宜蘭縣,90.68
2011,新竹縣,60.4
2011,苗栗縣,88.5
2011,彰化縣,77.93
2011,南投縣,97.38
2011,雲林縣,104.76
2011,嘉義縣,119.34
2011,屏東縣,93.39
2011,臺東縣,89.59
2011,花蓮縣,88.16
2011,澎湖縣,110.81
2011,基隆市,84.23
2011,新竹市,50.4
2011,嘉義市,66.89
2011,金門縣,96.04
2011,連江縣,67.4
2012,新北市,63.82
2012,臺北市,91.0
2012,桃園市,51.11
2012,臺中市,56.4
2012,臺南市,86.46
2012,高雄市,79.16
2012,宜蘭縣,95.58
2012,新竹縣,61.83
2012,苗栗縣,91.21
2012,彰化縣,82.19
2012,南投縣,103.11
2012,雲林縣,110.1
2012,嘉義縣,127.68
2012,屏東縣,100.45
2012,臺東縣,95.19
2012,花蓮縣,93.48
2012,澎湖縣,113.61
2012,基隆市,91.54
2012,新竹市,51.9
2012,嘉義市,71.64
2012,金門縣,97.35
2012,連江縣,69.25
2013,新北市,68.84
2013,臺北市,94.53
2013,桃園市,54.5
2013,臺中市,59.7
2013,臺南市,90.8
2013,高雄市,84.86
2013,宜蘭縣,99.93
2013,新竹縣,62.96
2013,苗栗縣,93.21
2013,彰化縣,86.69
2013,南投縣,109.55
2013,雲林縣,115.66
2013,嘉義縣,137.26
2013,屏東縣,107.77
2013,臺東縣,100.04
2013,花蓮縣,97.88
2013,澎湖縣,117.04
2013,基隆市,98.82
2013,新竹市,53.7
2013,嘉義市,75.67
2013,金門縣,99.6
2013,連江縣,70.74
2014,新北市,74.82
2014,臺北市,99.41
2014,桃園市,58.72
2014,臺中市,63.82
2014,臺南市,95.99
2014,高雄市,91.52
2014,宜蘭縣,104.89
2014,新竹縣,64.61
2014,苗栗縣,95.88
2014,彰化縣,92.11
2014,南投縣,117.18
2014,雲林縣,122.28
2014,嘉義縣,147.72
2014,屏東縣,115.38
2014,臺東縣,105.9
2014,花蓮縣,103.08
2014,澎湖縣,120.97
2014,基隆市,108.08
2014,新竹市,56.0
2014,嘉義市,80.83
2014,金門縣,102.52
2014,連江縣,74.28
2015,新北市,83.01
2015,臺北市,105.76
2015,桃園市,62.3
2015,臺中市,68.65
2015,臺南市,102.57
2015,高雄市,100.25
2015,宜蘭縣,112.02
2015,新竹縣,67.47
2015,苗栗縣,101.52
2015,彰化縣,98.28
2015,南投縣,127.14
2015,雲林縣,131.1
2015,嘉義縣,161.19
2015,屏東縣,125.56
2015,臺東縣,113.63
2015,花蓮縣,110.8
2015,澎湖縣,129.22
2015,基隆市,119.05
2015,新竹市,59.36
2015,嘉義市,86.94
2015,金門縣,107.13
2015,連江縣,78.36
2016,新北市,91.81866017109985
2016,臺北市,111.72986287347253
2016,桃園市,66.63235218200646
2016,臺中市,73.77691758794953
2016,臺南市,109.77719162534714
2016,高雄市,108.67120622002193
2016,宜蘭縣,119.30466605672461
2016,新竹縣,69.84403969898571
2016,苗栗縣,108.65472971199033
2016,彰化縣,104.29761205771193
2016,南投縣,137.46697773355748
2016,雲林縣,140.36638695189694
2016,嘉義縣,174.29278708970313
2016,屏東縣,135.43172754995416
2016,臺東縣,120.98367854790311
2016,花蓮縣,117.93125181809367
2016,澎湖縣,135.6346857043357
2016,基隆市,128.24380369309768
2016,新竹市,63.108425206140296
2016,嘉義市,93.98776821809889
2016,金門縣,115.32104724294281
2016,連江縣,80.74027603513174
2017,新北市,100.85154219068362
2017,臺北市,118.73729290132802
2017,桃園市,71.16077539808653
2017,臺中市,78.67655540203256
2017,臺南市,116.0998925932107
2017,高雄市,117.1875185488562
2017,宜蘭縣,125.77684376908431
2017,新竹縣,72.46170522604592
2017,苗栗縣,118.22853185595568
2017,彰化縣,111.17571135230273
2017,南投縣,148.5295964688784
2017,雲林縣,148.6701997153933
2017,嘉義縣,188.10586734693877
2017,屏東縣,144.8578959557972
2017,臺東縣,129.39616637624061
2017,花蓮縣,125.9061541148003
2017,澎湖縣,142.61774563415065
2017,基隆市,138.94851140122725
2017,新竹市,66.59494069486722
2017,嘉義市,101.42538027869377
2017,金門縣,124.48964497041419
2017,連江縣,86.46759847522236
2018,新北市,110.1614134494879
2018,臺北市,126.11746783370043
2018,桃園市,75.71615673516254
2018,臺中市,84.05804249610354
2018,臺南市,122.88463540762851
2018,高雄市,125.43555266391961
2018,宜蘭縣,133.6276511597962
2018,新竹縣,75.46812354055602
2018,苗栗縣,127.36978183191472
2018,彰化縣,117.8298253309219
2018,南投縣,158.4559983665287
2018,雲林縣,157.2026459737947
2018,嘉義縣,202.38254752533288
2018,屏東縣,154.6747483002463
2018,臺東縣,136.9881109643329
2018,花蓮縣,132.81055070397434
2018,澎湖縣,152.0534254043249
2018,基隆市,149.23706353086484
2018,新竹市,69.34378569203614
2018,嘉義市,107.61835120788648
2018,金門縣,136.17590822179733
2018,連江縣,96.07072691552064
2019,新北市,118.97325055063928
2019,臺北市,134.44275668073135
2019,桃園市,81.40191050057985
2019,臺中市,90.43247939207237
2019,臺南市,130.08888068361642
2019,高雄市,133.50059526165631
2019,宜蘭縣,140.1737930520074
2019,新竹縣,77.68872463261022
2019,苗栗縣,135.04168783432448
2019,彰化縣,124.65633261972384
2019,南投縣,166.16082691619752
2019,雲林縣,164.30804094709697
2019,嘉義縣,213.05386386623343
2019,屏東縣,163.80921426830258
2019,臺東縣,144.21140605722928
2019,花蓮縣,140.1642731687158
2019,澎湖縣,159.39594234829707
2019,基隆市,159.83600115270755
2019,新竹市,73.34610822155307
2019,嘉義市,115.26078736654803
2019,金門縣,148.92673821745217
2019,連江縣,102.33766233766232
2020,新北市,128.19385178089348
2020,臺北市,143.8615485088165
2020,桃園市,88.03215538756466
2020,臺中市,97.41594605958369
2020,臺南市,138.38619319503857
2020,高雄市,142.74404373342904
2020,宜蘭縣,147.92774047101108
2020,新竹縣,80.43492450285018
2020,苗栗縣,142.00027451159812
2020,彰化縣,131.73291355109538
2020,南投縣,174.7837708830549
2020,雲林縣,172.97120068518817
2020,嘉義縣,226.1451146227465
2020,屏東縣,173.76019566172369
2020,臺東縣,152.81154706241108
2020,花蓮縣,149.14866180688966
2020,澎湖縣,165.71480871316126
2020,基隆市,171.75658017547136
2020,新竹市,77.41225772655841
2020,嘉義市,123.41110446400592
2020,金門縣,161.08292373553195
2020,連江縣,111.36212624584718
2021,新北市,137.58417250043925
2021,臺北市,154.4253155250582
2021,桃園市,94.79027681926233
2021,臺中市,104.74706218620425
2021,臺南市,147.63973276881202
2021,高雄市,152.24908132996856
2021,宜蘭縣,155.90248404214412
2021,新竹縣,83.55202929508697
2021,苗栗縣,149.7520531873289
2021,彰化縣,140.2804620432379
2021,南投縣,184.95488426834052
2021,雲林縣,182.07670771904176
2021,嘉義縣,240.68474466560326
2021,屏東縣,183.96247079439252
2021,臺東縣,161.95215791234529
2021,花蓮縣,158.47861819945567
2021,澎湖縣,175.35867337432458
2021,基隆市,184.21542844619768
2021,新竹市,81.77061198470038
2021,嘉義市,131.27917833800186
2021,金門縣,176.72420779641786
2021,連江縣,123.92929979605711
2022,新北市,147.86105366408353
2022,臺北市,166.10475674948512
2022,桃園市,101.88637344626761
2022,臺中市,111.76320288278416
2022,臺南市,156.5323914234987
2022,高雄市,161.77855291555707
2022,宜蘭縣,163.3268805850492
2022,新竹縣,86.71003921053207
2022,苗栗縣,157.3605284729254
2022,彰化縣,147.93060587628594
2022,南投縣,195.7391603997324
2022,雲林縣,190.11852083718682
2022,嘉義縣,252.45417054041815
2022,屏東縣,193.0785841938046
2022,臺東縣,168.7807151330283
2022,花蓮縣,167.55317681463293
2022,澎湖縣,184.13579085950724
2022,基隆市,196.1160137147996
2022,新竹市,87.03208011196108
2022,嘉義市,139.69245555021624
2022,金門縣,196.00675390460108
2022,連江縣,137.04481792717087
2023,新北市,159.42572523262177
2023,臺北市,178.3973889682619
2023,桃園市,109.47827150965239
2023,臺中市,118.88943280896498
2023,臺南市,164.8885214926783
2023,高雄市,170.9674994198076
2023,宜蘭縣,170.44903749532048
2023,新竹縣,90.54642351934908
2023,苗栗縣,163.96347925328115
2023,彰化縣,156.62403434057563
2023,南投縣,203.80348977876196
2023,雲林縣,197.8013349038084
2023,嘉義縣,263.1057589589201
2023,屏東縣,200.34037015254088
2023,臺東縣,176.25924015815713
2023,花蓮縣,176.4507611931914
2023,澎湖縣,194.34087882822902
2023,基隆市,209.8669337530405
2023,新竹市,93.05350362443907
2023,嘉義市,147.7995483122749
2023,金門縣,212.03199455411843
2023,連江縣,146.56381486676017
2024,新北市,172.65835980714186
2024,臺北市,189.57445755300716
2024,桃園市,118.10967292705958
2024,臺中市,127.29063722082503
2024,臺南市,174.52751055701748
2024,高雄市,181.27912282630058
2024,宜蘭縣,179.024750794063
2024,新竹縣,95.68735550417927
2024,苗栗縣,172.5064171565786
2024,彰化縣,167.30903896249404
2024,南投縣,214.33193479032292
2024,雲林縣,198.8022838172374
2024,嘉義縣,276.28547973830194
2024,屏東縣,208.60995589161942
2024,臺東縣,183.72365848359766
2024,花蓮縣,188.0490974729242
2024,澎湖縣,207.40776511493144
2024,基隆市,224.53249181860681
2024,新竹市,99.44894239328558
2024,嘉義市,156.0778816199377
2024,金門縣,232.15804394046776
2024,連江縣,162.72661348803481
2025,新北市,185.53631212979656
2025,臺北市,202.05722546917073
2025,桃園市,127.33410942956927
2025,臺中市,136.44887155958284
2025,臺南市,184.9649207486824
2025,高雄市,192.10156058834724
2025,宜蘭縣,189.67486283275755
2025,新竹縣,101.87625111681614
2025,苗栗縣,179.557604918471
2025,彰化縣,178.35333434604283
2025,南投縣,224.63666793779927
2025,雲林縣,206.7824817518248
2025,嘉義縣,291.69181199815887
2025,屏東縣,218.71952078026803
2025,臺東縣,194.70722229666353
2025,花蓮縣,200.53036171861032
2025,澎湖縣,223.65194856971993
2025,基隆市,240.21332055007937
2025,新竹市,106.59428157799493
2025,嘉義市,164.47372578759442
2025,金門縣,255.57212076034287
2025,連江縣,180.23166023166024
